state;district;school;race;n
A;A34;A34_2;asian;4
A;A34;A34_2;black;117
A;A34;A34_2;hisp;2
A;A34;A34_2;native;1
A;A34;A34_2;white;293
A;A34;A34_3;black;56
A;A34;A34_3;white;196
A;A35;A35_1;asian;6
A;A35;A35_1;black;176
A;A35;A35_1;hisp;8
A;A35;A35_1;white;284
A;A36;A36_1;black;258
A;A36;A36_2;black;51
A;A36;A36_2;white;97
A;A36;A36_3;black;167
A;A36;A36_4;asian;1
A;A36;A36_4;black;129
A;A36;A36_5;black;431
A;A36;A36_5;white;17
A;A36;A36_6;asian;9
A;A36;A36_6;black;121
A;A36;A36_6;white;419
A;A36;A36_7;black;408
A;A36;A36_7;white;5
A;A37;A37_1;native;30
A;A37;A37_1;white;284
A;A37;A37_2;native;33
A;A37;A37_2;white;113
A;A37;A37_3;black;4
A;A37;A37_3;native;71
A;A37;A37_3;white;114
A;A38;A38_1;asian;1
A;A38;A38_1;black;40
A;A38;A38_1;native;1
A;A38;A38_1;white;257
A;A38;A38_2;asian;4
A;A38;A38_2;black;71
A;A38;A38_2;hisp;8
A;A38;A38_2;native;2
A;A38;A38_2;white;260
A;A38;A38_3;asian;1
A;A38;A38_3;black;124
A;A38;A38_3;hisp;7
A;A38;A38_3;white;75
A;A38;A38_4;black;169
A;A38;A38_4;hisp;84
A;A38;A38_4;white;55
A;A38;A38_5;asian;1
A;A38;A38_5;black;42
A;A38;A38_5;hisp;8
A;A38;A38_5;white;140
A;A38;A38_6;asian;3
A;A38;A38_6;black;82
A;A38;A38_6;hisp;5
A;A38;A38_6;native;2
A;A38;A38_6;white;130
A;A38;A38_7;asian;4
A;A38;A38_7;black;168
A;A38;A38_7;hisp;1
A;A38;A38_7;native;1
A;A38;A38_7;white;147
A;A38;A38_8;asian;6
A;A38;A38_8;black;275
A;A38;A38_8;hisp;13
A;A38;A38_8;native;4
A;A38;A38_8;white;253
A;A38;A38_9;asian;3
A;A38;A38_9;black;107
A;A38;A38_9;hisp;13
A;A38;A38_9;native;1
A;A38;A38_9;white;349
A;A38;A38_10;asian;6
A;A38;A38_10;black;121
A;A38;A38_10;hisp;6
A;A38;A38_10;native;3
A;A38;A38_10;white;439
A;A39;A39_1;asian;15
A;A39;A39_1;black;187
A;A39;A39_1;hisp;2
A;A39;A39_1;white;145
A;A39;A39_2;asian;6
A;A39;A39_2;black;290
A;A39;A39_2;hisp;4
A;A39;A39_2;native;2
A;A39;A39_2;white;93
A;A39;A39_3;asian;1
A;A39;A39_3;black;186
A;A39;A39_3;white;144
A;A39;A39_4;black;122
A;A39;A39_4;hisp;5
A;A39;A39_4;white;230
A;A39;A39_5;asian;1
A;A39;A39_5;black;203
A;A39;A39_5;hisp;1
A;A39;A39_5;native;2
A;A39;A39_5;white;128
A;A39;A39_6;asian;5
A;A39;A39_6;black;314
A;A39;A39_6;hisp;3
A;A39;A39_6;white;117
A;A39;A39_7;black;162
A;A39;A39_7;hisp;2
A;A39;A39_7;white;144
A;A39;A39_8;asian;6
A;A39;A39_8;black;233
A;A39;A39_8;hisp;4
A;A39;A39_8;native;1
A;A39;A39_8;white;282
A;A40;A40_1;black;222
A;A40;A40_1;hisp;5
A;A40;A40_1;native;6
A;A40;A40_1;white;282
A;A41;A41_1;black;53
A;A41;A41_1;white;513
A;A42;A42_1;asian;10
A;A42;A42_1;black;98
A;A42;A42_1;hisp;13
A;A42;A42_1;white;370
A;A42;A42_2;asian;6
A;A42;A42_2;black;124
A;A42;A42_2;hisp;17
A;A42;A42_2;native;2
A;A42;A42_2;white;309
A;A42;A42_3;asian;16
A;A42;A42_3;black;179
A;A42;A42_3;hisp;31
A;A42;A42_3;native;3
A;A42;A42_3;white;201
A;A42;A42_4;asian;3
A;A42;A42_4;black;77
A;A42;A42_4;hisp;17
A;A42;A42_4;native;2
A;A42;A42_4;white;162
A;A43;A43_1;black;245
A;A43;A43_1;hisp;1
A;A43;A43_1;native;19
A;A43;A43_1;white;102
A;A43;A43_2;asian;2
A;A43;A43_2;black;30
A;A43;A43_2;hisp;5
A;A43;A43_2;native;104
A;A43;A43_2;white;160
A;A43;A43_3;black;11
A;A43;A43_3;hisp;1
A;A43;A43_3;native;1
A;A43;A43_3;white;179
A;A43;A43_4;black;64
A;A43;A43_4;hisp;7
A;A43;A43_4;native;4
A;A43;A43_4;white;424
A;A43;A43_5;black;112
A;A43;A43_5;hisp;4
A;A43;A43_5;native;1
A;A43;A43_5;white;424
A;A43;A43_6;asian;1
A;A43;A43_6;black;85
A;A43;A43_6;hisp;4
A;A43;A43_6;native;2
A;A43;A43_6;white;304
A;A43;A43_7;black;352
A;A43;A43_7;native;23
A;A43;A43_7;white;186
A;A44;A44_1;hisp;9
A;A44;A44_1;white;320
A;A44;A44_2;asian;1
A;A44;A44_2;black;12
A;A44;A44_2;hisp;5
A;A44;A44_2;white;246
A;A44;A44_3;white;444
A;A44;A44_4;hisp;5
A;A44;A44_4;white;539
A;A44;A44_5;black;1
A;A44;A44_5;white;233
A;A44;A44_6;white;280
A;A44;A44_7;black;1
A;A44;A44_7;hisp;3
A;A44;A44_7;white;423
A;A44;A44_8;white;228
A;A44;A44_9;black;5
A;A44;A44_9;white;546
A;A45;A45_1;black;242
A;A45;A45_1;white;249
A;A45;A45_2;black;237
A;A45;A45_2;hisp;3
A;A45;A45_2;native;1
A;A45;A45_2;white;205
A;A45;A45_3;asian;2
A;A45;A45_3;black;242
A;A45;A45_3;hisp;5
A;A45;A45_3;native;5
A;A45;A45_3;white;203
A;A46;A46_1;black;354
A;A46;A46_1;hisp;1
A;A46;A46_1;white;3
A;A46;A46_2;black;374
A;A46;A46_3;black;339
A;A47;A47_1;black;23
A;A47;A47_1;hisp;6
A;A47;A47_1;white;361
A;A47;A47_2;asian;3
A;A47;A47_2;black;203
A;A47;A47_2;hisp;4
A;A47;A47_2;white;477
A;A48;A48_1;black;133
A;A48;A48_1;hisp;2
A;A48;A48_1;white;221
A;A48;A48_2;black;168
A;A48;A48_2;hisp;5
A;A48;A48_2;native;1
A;A48;A48_2;white;479
A;A48;A48_3;asian;1
A;A48;A48_3;black;288
A;A48;A48_3;hisp;19
A;A48;A48_3;white;209
A;A48;A48_4;asian;9
A;A48;A48_4;black;219
A;A48;A48_4;hisp;24
A;A48;A48_4;native;1
A;A48;A48_4;white;178
A;A49;A49_1;asian;9
A;A49;A49_1;black;20
A;A49;A49_1;hisp;82
A;A49;A49_1;white;310
A;A49;A49_2;asian;5
A;A49;A49_2;black;53
A;A49;A49_2;hisp;161
A;A49;A49_2;white;705
A;A50;A50_1;black;281
A;A50;A50_1;white;6
A;A50;A50_2;asian;10
A;A50;A50_2;black;75
A;A50;A50_2;white;281
A;A50;A50_3;black;41
A;A50;A50_3;hisp;2
A;A50;A50_3;white;131
A;A50;A50_4;black;98
A;A50;A50_4;native;2
A;A50;A50_4;white;258
A;A50;A50_5;black;297
A;A50;A50_5;hisp;3
A;A50;A50_5;white;48
A;A50;A50_6;black;21
A;A50;A50_6;hisp;10
A;A50;A50_6;white;237
A;A50;A50_7;black;257
A;A50;A50_7;hisp;2
A;A50;A50_7;native;2
A;A50;A50_7;white;120
A;A50;A50_8;asian;3
A;A50;A50_8;black;347
A;A50;A50_8;hisp;103
A;A50;A50_8;white;43
A;A50;A50_9;black;194
A;A50;A50_9;white;20
A;A51;A51_1;asian;4
A;A51;A51_1;black;91
A;A51;A51_1;native;4
A;A51;A51_1;white;384
A;A51;A51_2;asian;2
A;A51;A51_2;black;67
A;A51;A51_2;hisp;24
A;A51;A51_2;white;444
A;A52;A52_1;black;494
A;A52;A52_2;black;348
A;A52;A52_2;white;2
A;A53;A53_1;asian;2
A;A53;A53_1;black;55
A;A53;A53_1;hisp;3
A;A53;A53_1;white;373
A;A54;A54_1;black;268
A;A55;A55_1;black;14
A;A55;A55_1;hisp;17
A;A55;A55_1;white;917
A;A56;A56_1;black;3
A;A56;A56_1;white;422
A;A56;A56_2;asian;2
A;A56;A56_2;black;33
A;A56;A56_2;hisp;4
A;A56;A56_2;native;3
A;A56;A56_2;white;583
A;A56;A56_3;black;54
A;A56;A56_3;hisp;14
A;A56;A56_3;native;3
A;A56;A56_3;white;310
A;A57;A57_1;black;387
A;A57;A57_1;hisp;13
A;A57;A57_1;native;2
A;A57;A57_1;white;283
A;A58;A58_1;asian;7
A;A58;A58_1;black;141
A;A58;A58_1;hisp;28
A;A58;A58_1;white;385
A;A58;A58_2;asian;21
A;A58;A58_2;black;77
A;A58;A58_2;hisp;2
A;A58;A58_2;white;316
A;A59;A59_1;asian;5
A;A59;A59_1;black;204
A;A59;A59_1;native;1
A;A59;A59_1;white;341
A;A59;A59_2;black;221
A;A59;A59_2;hisp;9
A;A59;A59_2;native;2
A;A59;A59_2;white;618
A;A60;A60_1;asian;3
A;A60;A60_1;black;7
A;A60;A60_1;hisp;1
A;A60;A60_1;native;2
A;A60;A60_1;white;517
A;A60;A60_2;black;54
A;A60;A60_2;hisp;2
A;A60;A60_2;native;3
A;A60;A60_2;white;282
A;A60;A60_3;asian;13
A;A60;A60_3;black;43
A;A60;A60_3;hisp;5
A;A60;A60_3;native;5
A;A60;A60_3;white;232
A;A60;A60_4;black;38
A;A60;A60_4;hisp;4
A;A60;A60_4;native;4
A;A60;A60_4;white;295
A;A60;A60_5;black;314
A;A60;A60_5;hisp;3
A;A60;A60_5;white;23
A;A60;A60_6;asian;12
A;A60;A60_6;black;161
A;A60;A60_6;hisp;15
A;A60;A60_6;native;7
A;A60;A60_6;white;214
A;A60;A60_7;black;145
A;A60;A60_7;hisp;5
A;A60;A60_7;native;1
A;A60;A60_7;white;77
A;A60;A60_8;asian;5
A;A60;A60_8;black;23
A;A60;A60_8;hisp;8
A;A60;A60_8;native;2
A;A60;A60_8;white;417
A;A60;A60_9;asian;9
A;A60;A60_9;black;475
A;A60;A60_9;hisp;10
A;A60;A60_9;white;70
A;A60;A60_10;asian;3
A;A60;A60_10;black;27
A;A60;A60_10;hisp;1
A;A60;A60_10;native;3
A;A60;A60_10;white;481
A;A60;A60_11;black;407
A;A60;A60_11;hisp;1
A;A60;A60_11;white;15
A;A60;A60_12;asian;2
A;A60;A60_12;black;140
A;A60;A60_12;hisp;1
A;A60;A60_12;white;104
A;A60;A60_13;asian;3
A;A60;A60_13;black;18
A;A60;A60_13;white;178
A;A60;A60_14;black;300
A;A60;A60_14;white;23
A;A60;A60_15;black;191
A;A60;A60_15;hisp;1
A;A60;A60_15;white;11
A;A60;A60_16;asian;12
A;A60;A60_16;black;360
A;A60;A60_16;hisp;46
A;A60;A60_16;native;1
A;A60;A60_16;white;62
A;A60;A60_17;asian;48
A;A60;A60_17;black;19
A;A60;A60_17;hisp;9
A;A60;A60_17;native;1
A;A60;A60_17;white;477
A;A60;A60_18;asian;5
A;A60;A60_18;black;75
A;A60;A60_18;white;285
A;A61;A61_1;black;31
A;A61;A61_1;hisp;3
A;A61;A61_1;native;5
A;A61;A61_1;white;248
A;A61;A61_2;hisp;6
A;A61;A61_2;native;14
A;A61;A61_2;white;239
A;A61;A61_3;asian;2
A;A61;A61_3;hisp;1
A;A61;A61_3;native;14
A;A61;A61_3;white;227
A;A61;A61_4;hisp;2
A;A61;A61_4;native;12
A;A61;A61_4;white;164
A;A61;A61_5;black;43
A;A61;A61_5;native;1
A;A61;A61_5;white;164
A;A61;A61_6;white;270
A;A61;A61_7;asian;3
A;A61;A61_7;black;65
A;A61;A61_7;hisp;16
A;A61;A61_7;native;26
A;A61;A61_7;white;298
A;A61;A61_8;native;9
A;A61;A61_8;white;135
A;A62;A62_1;asian;9
A;A62;A62_1;black;190
A;A62;A62_1;hisp;11
A;A62;A62_1;native;1
A;A62;A62_1;white;742
A;A63;A63_1;asian;5
A;A63;A63_1;black;94
A;A63;A63_1;hisp;6
A;A63;A63_1;native;1
A;A63;A63_1;white;320
A;A63;A63_2;asian;2
A;A63;A63_2;black;140
A;A63;A63_2;hisp;2
A;A63;A63_2;white;143
A;A64;A64_1;asian;1
A;A64;A64_1;black;168
A;A64;A64_1;hisp;4
A;A64;A64_1;native;1
A;A64;A64_1;white;672
A;A64;A64_2;black;164
A;A64;A64_2;hisp;5
A;A64;A64_2;white;291
A;A64;A64_3;black;474
A;A64;A64_3;hisp;2
A;A64;A64_3;white;17
A;A64;A64_4;asian;1
A;A64;A64_4;black;83
A;A64;A64_4;hisp;8
A;A64;A64_4;white;279
A;A64;A64_5;asian;3
A;A64;A64_5;black;268
A;A64;A64_5;hisp;11
A;A64;A64_5;white;163
A;A64;A64_6;black;9
A;A64;A64_6;hisp;1
A;A64;A64_6;white;825
A;A64;A64_7;black;2
A;A64;A64_7;hisp;2
A;A64;A64_7;native;3
A;A64;A64_7;white;355
A;A64;A64_8;asian;1
A;A64;A64_8;black;323
A;A64;A64_8;hisp;2
A;A64;A64_8;white;263
A;A64;A64_9;asian;4
A;A64;A64_9;black;339
A;A64;A64_9;hisp;24
A;A64;A64_9;white;187
A;A64;A64_10;asian;9
A;A64;A64_10;black;44
A;A64;A64_10;hisp;12
A;A64;A64_10;white;661
A;A64;A64_11;black;39
A;A64;A64_11;hisp;6
A;A64;A64_11;white;139
A;A64;A64_12;asian;3
A;A64;A64_12;black;37
A;A64;A64_12;hisp;12
A;A64;A64_12;white;1267
A;A64;A64_13;black;276
A;A64;A64_13;hisp;5
A;A64;A64_13;white;2
A;A64;A64_14;black;223
A;A64;A64_14;hisp;8
A;A64;A64_14;white;542
A;A64;A64_15;black;19
A;A64;A64_15;hisp;2
A;A64;A64_15;white;708
A;A64;A64_16;black;169
A;A64;A64_16;hisp;5
A;A64;A64_16;native;4
A;A64;A64_16;white;47
A;A64;A64_17;white;409
A;A64;A64_18;asian;1
A;A64;A64_18;black;46
A;A64;A64_18;white;397
A;A64;A64_19;asian;8
A;A64;A64_19;black;112
A;A64;A64_19;hisp;31
A;A64;A64_19;native;1
